,feature_vector,degree_centrality,betweenness_centrality,closeness_centrality,community
Australia,"[0.36889062 0.24662083 0.48129212 0.88168318 0.6131095  0.57067788
 0.71359946 0.20291801 0.46164274 1.38580556 0.58013672]",0.0,0.0,0.0,0
Austria,"[-0.37690869 -0.35673305 -0.38175241 -0.41907345 -0.38441298 -0.39181527
 -0.36621463 -0.35125302 -0.35089759 -0.40088123 -0.32601722]",0.08571428571428572,0.0,0.24844720496894407,1
Belgium,"[-0.18237505 -0.10825247 -0.17769343 -0.3251082  -0.23627793 -0.2110137
 -0.12981015 -0.14279207 -0.14275822 -0.17351824 -0.15826778]",0.05714285714285714,0.0,0.24844720496894407,1
Canada,"[1.0782275  0.46878067 0.51126865 1.70099005 1.51746351 0.67991587
 0.44518188 0.95045508 1.31413405 0.52830612 0.54007965]",0.0,0.0,0.0,3
Chile,"[-0.42458189 -0.40251884 -0.43138617 -0.47400724 -0.44274502 -0.45159064
 -0.41899549 -0.41086116 -0.42205421 -0.47836293 -0.42193016]",0.37142857142857144,0.04537815126050421,0.38095238095238093,1
Costa Rica,"[-0.40449345 -0.37753619 -0.41375117 -0.46583708 -0.4184824  -0.41474281
 -0.39475664 -0.37945565 -0.38419933 -0.44582645 -0.41766041]",0.39999999999999997,0.06218487394957983,0.39408866995073893,1
Czech Republic,"[-0.41695081 -0.3961433  -0.41773614 -0.43975995 -0.40960698 -0.41494366
 -0.39000804 -0.38390541 -0.39358324 -0.44451258 -0.39850838]",0.2571428571428571,0.025210084033613446,0.3088803088803089,1
Denmark,"[-0.40031572 -0.38470669 -0.42341622 -0.44285114 -0.35622921 -0.34161879
 -0.38301542 -0.40279548 -0.41214976 -0.41839946 -0.39648625]",0.0,0.0,0.0,4
Estonia,"[-0.42047155 -0.40162154 -0.42653877 -0.46923991 -0.44113273 -0.44399705
 -0.43672078 -0.41892685 -0.41910439 -0.47593592 -0.43612144]",0.2857142857142857,0.008403361344537816,0.32653061224489793,5
Finland,"[-0.39486615 -0.34064466 -0.37003539 -0.41326169 -0.38615833 -0.38528772
 -0.34143788 -0.35311553 -0.35753989 -0.41164764 -0.39532243]",0.17142857142857143,0.06218487394957983,0.293040293040293,1
France,"[0.53173758 0.3438438  0.28678667 0.40672743 0.44101707 0.46272996
 0.51629316 0.43243547 0.33772944 0.2913446  0.50475785]",0.0,0.0,0.0,7
Germany,"[0.46711764 0.47212586 0.39887897 0.4303872  0.3917796  0.39499021
 0.49895448 0.45056183 0.47018681 0.51959262 0.51355921]",0.0,0.0,0.0,8
Greece,"[-0.28557996 -0.25237105 -0.21738705 -0.29897212 -0.3476825  -0.20418488
 -0.15581397 -0.20780851 -0.31118259 -0.36186665 -0.37003127]",0.02857142857142857,0.0,0.15238095238095237,1
Hungary,"[-0.2601346  -0.26750704 -0.3681916  -0.40917661 -0.41647095 -0.42437577
 -0.42071003 -0.39755863 -0.40191908 -0.46344505 -0.42537796]",0.02857142857142857,0.0,0.17057569296375263,9
Iceland,"[-0.43014096 -0.40891799 -0.43198838 -0.47782279 -0.44188409 -0.45227816
 -0.43877991 -0.42046206 -0.42147813 -0.47935745 -0.43705976]",0.3142857142857143,0.0,0.3361344537815126,5
Ireland,"[-0.34272043 -0.21508598 -0.25603982 -0.3051966  -0.3419847  -0.38011975
 -0.37525797 -0.36081495 -0.38431733 -0.43300712 -0.37251892]",0.0,0.0,0.0,10
Italy,"[0.03970966 0.10246289 0.31233214 0.61118355 0.94526479 1.09956399
 0.78802216 0.45198793 0.45697161 0.71961987 0.43981695]",0.0,0.0,0.0,11
Japan,"[-0.34600533 -0.32856263 -0.37214684 -0.40469566 -0.37404267 -0.38390496
 -0.35744023 -0.35418316 -0.36584104 -0.40012393 -0.38423709]",0.2857142857142857,0.08571428571428572,0.3463203463203463,5
Korea,"[-0.26842266 -0.31356832 -0.33266882 -0.36323    -0.33909667 -0.35841275
 -0.33241134 -0.30988814 -0.33514902 -0.33638309 -0.34139414]",0.02857142857142857,0.0,0.17057569296375263,9
Latvia,"[-0.41247829 -0.38238474 -0.41350582 -0.46480107 -0.43330608 -0.44259112
 -0.43604842 -0.41764881 -0.41890311 -0.4763465  -0.44059485]",0.2571428571428571,0.0,0.31746031746031744,5
Lithuania,"[-0.43063791 -0.41072832 -0.43514067 -0.48132669 -0.44676792 -0.45637236
 -0.44273848 -0.42336882 -0.42365753 -0.48135563 -0.44192596]",0.3142857142857143,0.0067226890756302525,0.3361344537815126,5
Luxembourg,"[-0.40457768 -0.3753323  -0.4036326  -0.44079596 -0.40662502 -0.4025529
 -0.36824014 -0.33244088 -0.34503959 -0.39731371 -0.39417316]",0.02857142857142857,0.0,0.23809523809523808,1
Mexico,"[-0.4110801  -0.38391172 -0.40980336 -0.4631165  -0.42673952 -0.43499753
 -0.41835674 -0.394722   -0.40320312 -0.48296146 -0.44364259]",0.2857142857142857,0.0,0.3463203463203463,5
Netherlands,"[-0.19238137 -0.16852096 -0.24400312 -0.20843497 -0.22996965 -0.23728613
 -0.2116373  -0.20785527 -0.18719988  0.02746703  0.01431149]",0.0,0.0,0.0,12
New Zealand,"[-0.27126958 -0.19843088 -0.22953528 -0.24788757 -0.23227069 -0.21085148
 -0.13781133 -0.14641579 -0.20914655 -0.27533386 -0.31155682]",0.05714285714285714,0.0319327731092437,0.20408163265306123,1
